metabolite,source_cell,sink_cell,exchange_axis,rho,p_value,significant,analysis,mean_Male,mean_Female,log2fc_M_vs_F,mean_hypertension_yes,mean_hypertension_no,log2fc,mean_diabetes_yes,mean_diabetes_no,predictor,beta,r_squared
glnasngln,VSMC/Pericyte,IC,VSMC/Pericyte→IC,-0.6022369812825288,0.022664986508410118,True,egfr,,,,,,,,,,,
ser_D,C_TAL,iPT,C_TAL→iPT,-0.5836213403309812,0.028446294728917375,True,egfr,,,,,,,,,,,
asn_L,Podo,Endo_G,Podo→Endo_G,0.5368540102302805,0.04776640512822317,True,egfr,,,,,,,,,,,
his_L,C_TAL,PT_S3,C_TAL→PT_S3,0.5892556509887895,0.02659200006597745,True,fibrosis,,,,,,,,,,,
meoh,C_TAL,Fib,C_TAL→Fib,0.5892556509887895,0.02659200006597745,True,fibrosis,,,,,,,,,,,
thrglnglu,GS_Stromal,C_TAL,GS_Stromal→C_TAL,0.5783770851243812,0.030257353996166924,True,fibrosis,,,,,,,,,,,
34dhoxpeg,C_TAL,PC,C_TAL→PC,0.5783770851243812,0.030257353996166924,True,fibrosis,,,,,,,,,,,
glnasngln,VSMC/Pericyte,IC,VSMC/Pericyte→IC,0.5783770851243812,0.030257353996166924,True,fibrosis,,,,,,,,,,,
Rtotal,PC,C_TAL,PC→C_TAL,,0.042624042624042624,True,sex,171.20423380670957,301.05041612319377,-0.8142867285307449,,,,,,,,
thf,C_TAL,MyoFib,C_TAL→MyoFib,,0.012350626068390705,True,diabetes,,,,,,-29.626727593658707,0.0,828.9601977276927,,,
dag_hs,C_TAL,PT_S3,C_TAL→PT_S3,,0.029304029304029304,True,diabetes,,,,,,1.6229365966277938,3275.3336614510768,1063.4154155340525,,,
cmp,MyoFib,Fib,MyoFib→Fib,,0.032389833464259714,True,diabetes,,,,,,-2.024047219925954,457.02358155778484,1858.8208532450226,,,
cdp,C_TAL,iPT,C_TAL→iPT,,0.04444223910305721,True,diabetes,,,,,,-2.807485813274932,1616.5836282135451,11317.112123172417,,,
pyr,PT_S1,PT_S2,PT_S1→PT_S2,,0.0038282731115952965,True,regression,,,,,,,,,fibrosis,-70.74158042778517,0.8244751239048854
pyr,PT_S1,PT_S2,PT_S1→PT_S2,,0.02379852286920011,True,regression,,,,,,,,,is_DKD,3033.8956688840135,0.8244751239048854
pyr,PT_S1,PT_S2,PT_S1→PT_S2,,0.008466370629593321,True,regression,,,,,,,,,is_HKD,3451.635653428811,0.8244751239048854
glc_D,PEC,Mes,PEC→Mes,,0.0344376715830634,True,regression,,,,,,,,,is_HKD,1960.753906114549,0.6610872823063974
ala_L,PT_S1,PT_S2,PT_S1→PT_S2,,0.007430231025958273,True,regression,,,,,,,,,fibrosis,-26.20015307533956,0.7551141912376117
ala_L,PT_S1,PT_S2,PT_S1→PT_S2,,0.023497603639457475,True,regression,,,,,,,,,is_HKD,1159.6739941580936,0.7551141912376117
gluglu,PT_S1,PT_S2,PT_S1→PT_S2,,0.01967020015038402,True,regression,,,,,,,,,is_HKD,902.614558981649,0.7283899808336054
ser_L,PT_S1,PT_S2,PT_S1→PT_S2,,0.04706797864488549,True,regression,,,,,,,,,fibrosis,-2.5826719718104156,0.6692051679807807
chol,C_TAL,iPT,C_TAL→iPT,,0.01965692049681465,True,regression,,,,,,,,,fibrosis,0.633563819264682,0.6839733148852087
his_L,C_TAL,PT_S3,C_TAL→PT_S3,,0.000901071864123759,True,regression,,,,,,,,,fibrosis,0.023974443298940797,0.8811414851807692
hxan,Mac,Plasma_Cells,Mac→Plasma_Cells,,0.023980433642287472,True,regression,,,,,,,,,is_HKD,223.21844990715257,0.6472195210964793
for,Podo,Endo_G,Podo→Endo_G,,0.000474545498230713,True,regression,,,,,,,,,eGFR,0.27866242021923066,0.9163546565697543
for,Podo,Endo_G,Podo→Endo_G,,0.014852664510710144,True,regression,,,,,,,,,age,-0.1569652325549079,0.9163546565697543
for,Podo,Endo_G,Podo→Endo_G,,0.0028217115244746297,True,regression,,,,,,,,,is_DKD,7.839873439336058,0.9163546565697543
for,Podo,Endo_G,Podo→Endo_G,,0.00021909422179409505,True,regression,,,,,,,,,is_HKD,10.964957023741814,0.9163546565697543
cgly,PT_S2,PT_S1,PT_S2→PT_S1,,0.03471145908951297,True,regression,,,,,,,,,is_DKD,165.61215041228397,0.7338406483989589
cgly,PT_S2,PT_S1,PT_S2→PT_S1,,0.010657091123135485,True,regression,,,,,,,,,is_HKD,197.46691277439896,0.7338406483989589
gthrd,C_TAL,PC,C_TAL→PC,,0.02367975448967986,True,regression,,,,,,,,,eGFR,41.553211813248815,0.618704082704669
