metabolite,source_cell,sink_cell,exchange_axis,mean_diabetes_yes,mean_diabetes_no,log2fc,p_value,significant
thf,C_TAL,MyoFib,C_TAL→MyoFib,0.0,828.9601977276927,-29.626727593658707,0.012350626068390705,True
dag_hs,C_TAL,PT_S3,C_TAL→PT_S3,3275.3336614510768,1063.4154155340525,1.6229365966277938,0.029304029304029304,True
cmp,MyoFib,Fib,MyoFib→Fib,457.02358155778484,1858.8208532450226,-2.024047219925954,0.032389833464259714,True
cdp,C_TAL,iPT,C_TAL→iPT,1616.5836282135451,11317.112123172417,-2.807485813274932,0.04444223910305721,True
cyala,Endo_G,Podo,Endo_G→Podo,1865.98671171924,2851.0090586688293,-0.6115339106316207,0.05927405927405928,False
lcts6p,PC,C_TAL,PC→C_TAL,195.9658063845368,765.1282772891575,-1.965099693278185,0.05927405927405928,False
sphs1p,C_TAL,PT_S3,C_TAL→PT_S3,3.410455078395316,8.00807439169604,-1.2314908734742878,0.05927405927405928,False
ctp,PT_S3,C_TAL,PT_S3→C_TAL,759.232827333704,5723.517221811265,-2.914287706989711,0.06007743068658495,False
5mthf,MyoFib,Fib,MyoFib→Fib,0.0,2.926032789053225,-21.480514998752064,0.06293645460621412,False
fol,PT_S2,Podo,PT_S2→Podo,0.0,220.49129779910845,-27.71614648323968,0.06293645460621412,False
6thf,Fib,PT_S1,Fib→PT_S1,251.21586848412662,1464.7961935678227,-2.5437004399509204,0.07467463615009534,False
gluglu,PT_S1,PT_S2,PT_S1→PT_S2,410.221700577235,851.266701227572,-1.0532073843235463,0.08125208125208126,False
glyc,PT_S2,PT_S1,PT_S2→PT_S1,1972.137990389412,5313.751596463568,-1.4299702863055974,0.08125208125208126,False
ttdca,Mono,CD4T,Mono→CD4T,5.941389825898978,25.539570185783585,-2.103861704577335,0.09885630223350042,False
5dhf,PT_S1,PT_S3,PT_S1→PT_S3,1426.9098222666428,6076.125876982229,-2.090257594818084,0.10504261503701626,False
glucyala,PEC,IC,PEC→IC,1904.076479609441,2902.041373558449,-0.6079766599161541,0.1078921078921079,False
glc_D,PEC,Mes,PEC→Mes,1089.7585494796576,1969.7678207335484,-0.8540170645374757,0.1078921078921079,False
meoh,C_TAL,Fib,C_TAL→Fib,0.343603004343936,0.0,18.390387324107238,0.1121231080754044,False
34dhoxpeg,C_TAL,PC,C_TAL→PC,5.926289115636076,0.0,22.498697823052407,0.1121231080754044,False
his_L,C_TAL,PT_S3,C_TAL→PT_S3,0.5247691928154544,0.0,19.001326250988484,0.1121231080754044,False
h2s,MyoFib,C_TAL,MyoFib→C_TAL,6.517622492192543,0.0,22.63591458270233,0.1121231080754044,False
thrglnglu,GS_Stromal,C_TAL,GS_Stromal→C_TAL,6.35272851063239,0.0,22.59894516205379,0.1121231080754044,False
o2s,CNT,IC,CNT→IC,0.0,392.80877747220507,-28.549251930393055,0.12678196881601222,False
lac_L,Podo,Endo_G,Podo→Endo_G,4535.396244390315,7201.095252336535,-0.6669877498459501,0.14185814185814188,False
lcts,C_TAL,PC,C_TAL→PC,420.33762181794054,2683.0099019046065,-2.674231882035786,0.14185814185814188,False
fru,Fib,CD4T,Fib→CD4T,2001.801400386849,7239.964969577809,-1.8546838655009932,0.17476969581445967,False
asp_L,IC,PC,IC→PC,157.10938658373533,333.3059584868639,-1.0850777259923612,0.18115218115218118,False
for,Podo,Endo_G,Podo→Endo_G,2.90080340342319,6.215002102988101,-1.0993020913692584,0.18115218115218118,False
amp,PT_S3,C_TAL,PT_S3→C_TAL,1056.6441657120724,2933.075166789165,-1.47292442490379,0.18115218115218118,False
pi,PT_S3,C_TAL,PT_S3→C_TAL,490.70834658633584,653.2125867457403,-0.41268677891868877,0.18115218115218118,False
met_L,C_TAL,PT_S3,C_TAL→PT_S3,1.6013595632178592,0.8083908336932462,0.986171529513172,0.22427458126274313,False
gluampn,Podo,Endo_G,Podo→Endo_G,2138.0762102475633,2964.83835238065,-0.4716401708978657,0.22843822843822847,False
ser_L,PT_S1,PT_S2,PT_S1→PT_S2,87.59032814204424,149.18078077303113,-0.7682181966390578,0.22843822843822847,False
