metabolite,source_cell,sink_cell,exchange_axis,rho,p_value,significant
glnasngln,VSMC/Pericyte,IC,VSMC/Pericyte→IC,-0.6022369812825288,0.022664986508410118,True
ser_D,C_TAL,iPT,C_TAL→iPT,-0.5836213403309812,0.028446294728917375,True
asn_L,Podo,Endo_G,Podo→Endo_G,0.5368540102302805,0.04776640512822317,True
dad_2,CD4T,Plasma_Cells,CD4T→Plasma_Cells,0.5290618834335178,0.0517347899379324,False
h2s,MyoFib,C_TAL,MyoFib→C_TAL,-0.5156879540323449,0.05909491388412068,False
dgsn,Fib,Plasma_Cells,Fib→Plasma_Cells,0.5045965940261875,0.06574721347344191,False
chsterol,PT_S1,Endo_G,PT_S1→Endo_G,0.5044755858738932,0.06582261516386309,False
akg,PT_S1,PT_S3,PT_S1→PT_S3,0.4945054945054946,0.07224967403413257,False
mag_hs,Fib,CD4T,Fib→CD4T,0.4769230769230769,0.0846484341946868,False
orn,iPT,C_TAL,iPT→C_TAL,0.47643525615380605,0.08501236975447674,False
his_L,C_TAL,PT_S3,C_TAL→PT_S3,-0.4688072309384954,0.09084670648388156,False
meoh,C_TAL,Fib,C_TAL→Fib,-0.4688072309384954,0.09084670648388156,False
for,Podo,Endo_G,Podo→Endo_G,0.46373626373626364,0.09487633150889971,False
5dhf,PT_S1,PT_S3,PT_S1→PT_S3,0.4569580959930881,0.1004542294343188,False
glu_L,Endo_G,Podo,Endo_G→Podo,0.45494505494505494,0.10215352669182914,False
gluglu,PT_S1,PT_S2,PT_S1→PT_S2,0.45054945054945056,0.10593278527264058,False
alaarggly,C_TAL,Plasma_Cells,C_TAL→Plasma_Cells,-0.4472135954999579,0.10886430106296381,False
3mhis,Plasma_Cells,C_TAL,Plasma_Cells→C_TAL,-0.4472135954999579,0.10886430106296381,False
acald,C_TAL,PEC,C_TAL→PEC,-0.4472135954999579,0.10886430106296381,False
s2l2n2m2masn,MyoFib,Plasma_Cells,MyoFib→Plasma_Cells,0.4472135954999579,0.10886430106296381,False
fmn,Mac,Plasma_Cells,Mac→Plasma_Cells,-0.4472135954999579,0.10886430106296381,False
34dhoxpeg,C_TAL,PC,C_TAL→PC,-0.4399575551884342,0.11543193457258581,False
thrglnglu,GS_Stromal,C_TAL,GS_Stromal→C_TAL,-0.4399575551884342,0.11543193457258581,False
serglyglu,Mono,Plasma_Cells,Mono→Plasma_Cells,-0.43799384602074265,0.1172547675826254,False
acac,Podo,Endo_G,Podo→Endo_G,0.43736263736263736,0.11784483174447676,False
atp,C_TAL,PT_S3,C_TAL→PT_S3,-0.4328711109795643,0.12210199688848876,False
mal_L,C_TAL,PT_S2,C_TAL→PT_S2,-0.4244706471449938,0.1303415153902761,False
hdca,C_TAL,GS_Stromal,C_TAL→GS_Stromal,0.4065934065934066,0.14910193900151342,False
glyc,PT_S2,PT_S1,PT_S2→PT_S1,0.3934065934065934,0.16403157340077784,False
hco3,Endo_G,Podo,Endo_G→Podo,0.3934065934065934,0.16403157340077784,False
glucyala,PEC,IC,PEC→IC,0.3934065934065934,0.16403157340077784,False
inost,C_TAL,PT_S3,C_TAL→PT_S3,0.389010989010989,0.16921738979769044,False
tyr_L,PT_S2,PT_S1,PT_S2→PT_S1,0.38461538461538464,0.17450875077509556,False
pi,PT_S3,C_TAL,PT_S3→C_TAL,0.367032967032967,0.1967388717074885,False
fru,Fib,CD4T,Fib→CD4T,0.35423563789784895,0.21400015278700202,False
cgly,PT_S2,PT_S1,PT_S2→PT_S1,0.3274725274725274,0.2530710007719406,False
15kprostgf2,C_TAL,PT_S3,C_TAL→PT_S3,0.3262290670215717,0.25498434169354445,False
thym,Mes,VSMC/Pericyte,Mes→VSMC/Pericyte,-0.3230769230769231,0.25987361950878973,False
glc_D,PEC,Mes,PEC→Mes,0.3230769230769231,0.25987361950878973,False
thymd,C_TAL,PT_S3,C_TAL→PT_S3,-0.3230769230769231,0.25987361950878973,False
cytd,Fib,Plasma_Cells,Fib→Plasma_Cells,0.3177973955064613,0.2681878997679334,False
aspmetasp,PT_S3,Endo_Peritubular,PT_S3→Endo_Peritubular,0.31499060111937766,0.272671867689206,False
lac_L,Podo,Endo_G,Podo→Endo_G,0.3142857142857143,0.27380490296286775,False
leu_L,PT_S3,iPT,PT_S3→iPT,0.30887427876754514,0.28259606458472863,False
dopa,MyoFib,Plasma_Cells,MyoFib→Plasma_Cells,0.3066855984607809,0.2861982802136398,False
nh4,iPT,PT_S1,iPT→PT_S1,0.2967032967032967,0.30296672383870205,False
lcts6p,PC,C_TAL,PC→C_TAL,0.2879120879120879,0.3181928710258003,False
10fthf5glu,C_TAL,PT_S3,C_TAL→PT_S3,0.28477098735801143,0.3237366782744612,False
orot,C_TAL,CD4T,C_TAL→CD4T,0.27472527472527475,0.34182974371948127,False
6dhf,CNT,PT_S3,CNT→PT_S3,0.2629877593660106,0.36366382688303556,False
lcts,C_TAL,PC,C_TAL→PC,0.2571428571428571,0.3748119038799703,False
lys_L,Fib,Plasma_Cells,Fib→Plasma_Cells,-0.2477637765556052,0.3930779741522201,False
gly,Podo,Endo_G,Podo→Endo_G,0.24395604395604395,0.400624803916119,False
aspglupro,DCT,C_TAL,DCT→C_TAL,-0.24080732065382354,0.40692210333453627,False
glumethis,C_TAL,PT_S3,C_TAL→PT_S3,-0.24080732065382354,0.40692210333453627,False
tyrglu,PC,GS_Stromal,PC→GS_Stromal,0.24080732065382354,0.40692210333453627,False
ncam,iPT,PT_S3,iPT→PT_S3,0.24080732065382354,0.40692210333453627,False
gln_L,PT_S1,PT_S3,PT_S1→PT_S3,0.2351648351648352,0.4183338961985912,False
creat,iPT,PT_S3,iPT→PT_S3,0.2317903385472186,0.42523600332211353,False
arg_L,C_TAL,PT_S3,C_TAL→PT_S3,0.23076923076923075,0.4273358616774501,False
hxan,Mac,Plasma_Cells,Mac→Plasma_Cells,0.23076923076923075,0.4273358616774501,False
ala_L,PT_S1,PT_S2,PT_S1→PT_S2,0.221978021978022,0.44562965795360865,False
ser_L,PT_S1,PT_S2,PT_S1→PT_S2,0.2175824175824176,0.4549193731700327,False
cys_L,CD4T,Plasma_Cells,CD4T→Plasma_Cells,0.2175824175824176,0.4549193731700327,False
ctp,PT_S3,C_TAL,PT_S3→C_TAL,0.21413012227695435,0.4622812643559694,False
pyr,PT_S1,PT_S2,PT_S1→PT_S2,0.21318681318681318,0.4643028200397442,False
met_L,C_TAL,PT_S3,C_TAL→PT_S3,-0.20931762484948127,0.4726391528394096,False
ura,C_TAL,PC,C_TAL→PC,0.2087912087912088,0.4737788373098136,False
cyala,Endo_G,Podo,Endo_G→Podo,0.2087912087912088,0.4737788373098136,False
ttdca,Mono,CD4T,Mono→CD4T,0.20005051780833286,0.4928922360124399,False
ile_L,C_TAL,PT_S3,C_TAL→PT_S3,-0.1987804764345587,0.49569893029492795,False
trp_L,C_TAL,PT_S3,C_TAL→PT_S3,-0.1987804764345587,0.49569893029492795,False
prostge2,C_TAL,GS_Stromal,C_TAL→GS_Stromal,-0.1987804764345587,0.49569893029492795,False
cit,Endo_G,Podo,Endo_G→Podo,0.18681318681318684,0.5225040123791591,False
sphs1p,C_TAL,PT_S3,C_TAL→PT_S3,0.18681318681318684,0.5225040123791591,False
o2s,CNT,IC,CNT→IC,0.18654783173089357,0.5231055954644606,False
dhdascb,PC,C_TAL,PC→C_TAL,0.1804181509790287,0.5370873712505349,False
ascb_L,C_TAL,PC,C_TAL→PC,0.1804181509790287,0.5370873712505349,False
succ,iPT,C_TAL,iPT→C_TAL,0.178021978021978,0.5425969526062153,False
amp,PT_S3,C_TAL,PT_S3→C_TAL,0.178021978021978,0.5425969526062153,False
tag_hs,CD4T,Mes,CD4T→Mes,-0.175242662664682,0.5490179570413143,False
thf,C_TAL,MyoFib,C_TAL→MyoFib,0.175242662664682,0.5490179570413143,False
cmp,MyoFib,Fib,MyoFib→Fib,0.17439463566885974,0.5509835972520678,False
aspasnglu,C_TAL,PEC,C_TAL→PEC,-0.17200522903844537,0.5565381001284011,False
dttp,C_TAL,Fib,C_TAL→Fib,-0.17200522903844537,0.5565381001284011,False
dtmp,Fib,C_TAL,Fib→C_TAL,-0.17200522903844537,0.5565381001284011,False
dtdp,Fib,C_TAL,Fib→C_TAL,-0.17200522903844537,0.5565381001284011,False
asplysglu,C_TAL,Plasma_Cells,C_TAL→Plasma_Cells,-0.17200522903844537,0.5565381001284011,False
ala_B,C_TAL,PT_S3,C_TAL→PT_S3,0.17200522903844537,0.5565381001284011,False
retn,PT_S3,C_TAL,PT_S3→C_TAL,-0.17200522903844537,0.5565381001284011,False
cholp,Mono,C_TAL,Mono→C_TAL,-0.17200522903844537,0.5565381001284011,False
hisglnala,C_TAL,IC,C_TAL→IC,-0.17200522903844537,0.5565381001284011,False
tyrala,C_TAL,CD4T,C_TAL→CD4T,-0.17200522903844537,0.5565381001284011,False
5mthf,MyoFib,Fib,MyoFib→Fib,0.16517585103707016,0.5725430532633929,False
aspglu,Plasma_Cells,Fib,Plasma_Cells→Fib,0.16483516483516483,0.5733464050131383,False
gal,PT_S3,PT_S2,PT_S3→PT_S2,0.16483516483516483,0.5733464050131383,False
gluampn,Podo,Endo_G,Podo→Endo_G,0.16483516483516483,0.5733464050131383,False
fe2,PC,C_TAL,PC→C_TAL,0.16281638015180636,0.578116273655717,False
fe3,C_TAL,PC,C_TAL→PC,0.16281638015180636,0.578116273655717,False
4nph,Plasma_Cells,Mac,Plasma_Cells→Mac,0.15673441939859545,0.5925832536171272,False
npphos,Mac,Plasma_Cells,Mac→Plasma_Cells,0.15673441939859545,0.5925832536171272,False
gthrd,C_TAL,PC,C_TAL→PC,-0.15624341875593742,0.593757438904853,False
nrpphr,PC,iPT,PC→iPT,-0.15624341875593742,0.593757438904853,False
gthox,C_TAL,GS_Stromal,C_TAL→GS_Stromal,0.15604395604395604,0.594234700580851,False
ahdt,Plasma_Cells,CD4T,Plasma_Cells→CD4T,0.15255316083742557,0.6026117666930815,False
dhnpt,CD4T,Plasma_Cells,CD4T→Plasma_Cells,0.15255316083742557,0.6026117666930815,False
asp_L,IC,PC,IC→PC,0.14285714285714285,0.6261174762253241,False
ala_D,iPT,C_TAL,iPT→C_TAL,0.1386139452643757,0.6365105221079713,False
gsn,PT_S1,CNT,PT_S1→CNT,0.1384615384615385,0.6368849912650183,False
ins,VSMC/Pericyte,C_TAL,VSMC/Pericyte→C_TAL,-0.13406593406593406,0.6477195279851131,False
malt,PT_S1,CNT,PT_S1→CNT,-0.12413021938748309,0.672447087968668,False
fol,PT_S2,Podo,PT_S2→Podo,-0.12112895742718478,0.6799787888440152,False
5thf,C_TAL,iPT,C_TAL→iPT,0.11699893279050085,0.6903885216928602,False
prostgf2,GS_Stromal,C_TAL,GS_Stromal→C_TAL,0.1146356899800559,0.696368177890295,False
ocdca,Mono,Mac,Mono→Mac,0.11315196350890265,0.7001308341893135,False
chol,C_TAL,iPT,C_TAL→iPT,0.1081688246553687,0.7128142653138133,False
ptrc,C_TAL,iPT,C_TAL→iPT,-0.1032031374230672,0.725522280810238,False
