metabolite,source_cell,sink_cell,exchange_axis,rho,p_value,significant
his_L,C_TAL,PT_S3,C_TAL→PT_S3,0.5892556509887895,0.02659200006597745,True
meoh,C_TAL,Fib,C_TAL→Fib,0.5892556509887895,0.02659200006597745,True
thrglnglu,GS_Stromal,C_TAL,GS_Stromal→C_TAL,0.5783770851243812,0.030257353996166924,True
34dhoxpeg,C_TAL,PC,C_TAL→PC,0.5783770851243812,0.030257353996166924,True
glnasngln,VSMC/Pericyte,IC,VSMC/Pericyte→IC,0.5783770851243812,0.030257353996166924,True
10fthf5glu,C_TAL,PT_S3,C_TAL→PT_S3,-0.5305219693755814,0.05097361398692651,False
pyr,PT_S1,PT_S2,PT_S1→PT_S2,-0.5303948353054367,0.051039566788105735,False
ala_D,iPT,C_TAL,iPT→C_TAL,-0.5199165940866446,0.056691080790754536,False
gthrd,C_TAL,PC,C_TAL→PC,0.49193158391224945,0.0739787324985231,False
atp,C_TAL,PT_S3,C_TAL→PT_S3,0.4867804678503411,0.07752676741712025,False
thymd,C_TAL,PT_S3,C_TAL→PT_S3,0.47293539481401436,0.08765564483626437,False
fmn,Mac,Plasma_Cells,Mac→Plasma_Cells,0.44969125210773464,0.1066817125246522,False
tyrglu,PC,GS_Stromal,PC→GS_Stromal,-0.44969125210773464,0.1066817125246522,False
ncam,iPT,PT_S3,iPT→PT_S3,-0.44969125210773464,0.1066817125246522,False
acald,C_TAL,PEC,C_TAL→PEC,0.44969125210773464,0.1066817125246522,False
3mhis,Plasma_Cells,C_TAL,Plasma_Cells→C_TAL,0.44969125210773464,0.1066817125246522,False
alaarggly,C_TAL,Plasma_Cells,C_TAL→Plasma_Cells,0.44969125210773464,0.1066817125246522,False
hco3,Endo_G,Podo,Endo_G→Podo,-0.44862563152918183,0.10761670685426623,False
cgly,PT_S2,PT_S1,PT_S2→PT_S1,-0.44641565304874253,0.10957368750619291,False
ser_D,C_TAL,iPT,C_TAL→iPT,0.44429331721750875,0.11147589448525648,False
nrpphr,PC,iPT,PC→iPT,0.3863337046431278,0.17242766629317424,False
gmp,MyoFib,PT_S3,MyoFib→PT_S3,0.38548087581354473,0.17345851708520973,False
leu_L,PT_S3,iPT,PT_S3→iPT,-0.35671206710450215,0.21058839798394421,False
orot,C_TAL,CD4T,C_TAL→CD4T,-0.34696662142897317,0.2242133902679034,False
dtdp,Fib,C_TAL,Fib→C_TAL,0.34591634777518054,0.22571361240397028,False
dttp,C_TAL,Fib,C_TAL→Fib,0.34591634777518054,0.22571361240397028,False
asplysglu,C_TAL,Plasma_Cells,C_TAL→Plasma_Cells,0.34591634777518054,0.22571361240397028,False
aspasnglu,C_TAL,PEC,C_TAL→PEC,0.34591634777518054,0.22571361240397028,False
tyrala,C_TAL,CD4T,C_TAL→CD4T,0.34591634777518054,0.22571361240397028,False
retn,PT_S3,C_TAL,PT_S3→C_TAL,0.34591634777518054,0.22571361240397028,False
hisglnala,C_TAL,IC,C_TAL→IC,0.34591634777518054,0.22571361240397028,False
cholp,Mono,C_TAL,Mono→C_TAL,0.34591634777518054,0.22571361240397028,False
glumethis,C_TAL,PT_S3,C_TAL→PT_S3,-0.34591634777518054,0.22571361240397028,False
dtmp,Fib,C_TAL,Fib→C_TAL,0.34591634777518054,0.22571361240397028,False
ala_B,C_TAL,PT_S3,C_TAL→PT_S3,-0.34591634777518054,0.22571361240397028,False
aspglupro,DCT,C_TAL,DCT→C_TAL,-0.34591634777518054,0.22571361240397028,False
lcts,C_TAL,PC,C_TAL→PC,-0.311606965741944,0.27813615244280915,False
thym,Mes,VSMC/Pericyte,Mes→VSMC/Pericyte,0.3071870087810654,0.28537067276445244,False
arg_L,C_TAL,PT_S3,C_TAL→PT_S3,-0.2939271378984295,0.3077287197594419,False
aspmetasp,PT_S3,Endo_Peritubular,PT_S3→Endo_Peritubular,-0.29213488254248027,0.3108257077633356,False
4nph,Plasma_Cells,Mac,Plasma_Cells→Mac,-0.2863486780311716,0.32094538303401965,False
npphos,Mac,Plasma_Cells,Mac→Plasma_Cells,-0.2863486780311716,0.32094538303401965,False
adn,PC,C_TAL,PC→C_TAL,0.2850872239766722,0.3231760864487705,False
inost,C_TAL,PT_S3,C_TAL→PT_S3,-0.2850872239766722,0.3231760864487705,False
fe2,PC,C_TAL,PC→C_TAL,-0.2765513798333216,0.3384998227308721,False
fe3,C_TAL,PC,C_TAL→PC,-0.2765513798333216,0.3384998227308721,False
cys_L,CD4T,Plasma_Cells,CD4T→Plasma_Cells,-0.2740373315744756,0.3430889157456455,False
hdca,C_TAL,GS_Stromal,C_TAL→GS_Stromal,-0.2740373315744756,0.3430889157456455,False
chol,C_TAL,iPT,C_TAL→iPT,0.273030134866931,0.3449370649325776,False
gluampn,Podo,Endo_G,Podo→Endo_G,-0.2718273530940363,0.34715130664474136,False
ser_L,PT_S1,PT_S2,PT_S1→PT_S2,-0.26519741765271837,0.35949678068083657,False
uri,C_TAL,PC,C_TAL→PC,-0.262987439172279,0.3636644326080417,False
thr_L,C_TAL,PT_S3,C_TAL→PT_S3,-0.2545306740476421,0.3798527485813733,False
lys_L,Fib,Plasma_Cells,Fib→Plasma_Cells,0.2519046222230112,0.3849566079579867,False
ac,PT_S3,C_TAL,PT_S3→C_TAL,-0.2386776758874465,0.4112101648475335,False
ala_L,PT_S1,PT_S2,PT_S1→PT_S2,-0.23204774044612853,0.4247074961995527,False
gly,Podo,Endo_G,Podo→Endo_G,-0.22762778348524987,0.4338288534571725,False
bhb,PT_S3,VSMC/Pericyte,PT_S3→VSMC/Pericyte,-0.22197571940400895,0.44563449950266965,False
prostge2,C_TAL,GS_Stromal,C_TAL→GS_Stromal,0.22140748992693238,0.44683009291923204,False
udp,PC,C_TAL,PC→C_TAL,-0.2175362050159288,0.45501753917621457,False
lac_L,Podo,Endo_G,Podo→Endo_G,-0.2165778910830533,0.457055548842931,False
6dhf,CNT,PT_S3,CNT→PT_S3,-0.21472010947992332,0.4610190663995779,False
ptrc,C_TAL,iPT,C_TAL→iPT,-0.2075498086651083,0.47647163908423895,False
glyc,PT_S2,PT_S1,PT_S2→PT_S1,-0.2055279986808567,0.480872807101546,False
pi,PT_S3,C_TAL,PT_S3→C_TAL,-0.2055279986808567,0.480872807101546,False
gluglu,PT_S1,PT_S2,PT_S1→PT_S2,-0.2033180202004174,0.48570547557096055,False
gdp,PC,C_TAL,PC→C_TAL,0.20110804171997804,0.49056084806479683,False
