metabolite,source_cell,sink_cell,exchange_axis,mean_hypertension_yes,mean_hypertension_no,log2fc,p_value,significant
phe_L,C_TAL,PT_S3,C_TAL→PT_S3,2.8735764001958213,9.221476090720964,-1.6821499503162498,0.07464618470299966,False
34hpp,Mono,Fib,Mono→Fib,0.0,0.8786766850983835,-19.74497453015209,0.08172275229865932,False
duri,VSMC/Pericyte,Dedifferentiated_Tubule,VSMC/Pericyte→Dedifferentiated_Tubule,0.0,0.07641134006933094,-16.221518021988782,0.08172275229865932,False
3mob,Mono,Mac,Mono→Mac,0.0,136.6740917483394,-27.02616455796315,0.08172275229865932,False
val_L,Mono,GS_Stromal,Mono→GS_Stromal,0.0,8.781521919247336,-23.066039727481176,0.08172275229865932,False
ncam,iPT,PT_S3,iPT→PT_S3,0.0,43.85669490441173,-25.386293789905736,0.08172275229865932,False
tyrglu,PC,GS_Stromal,PC→GS_Stromal,0.0,0.8166034598993007,-19.639277921325167,0.08172275229865932,False
leu_L,PT_S3,iPT,PT_S3→iPT,11.847608643543536,11.742730739678073,0.012827947355698241,0.08305934890491304,False
ctp,PT_S3,C_TAL,PT_S3→C_TAL,4475.324507064317,371.6550535949548,3.5899561624739538,0.08538227979416392,False
ttdca,Mono,CD4T,Mono→CD4T,21.060630365647913,2.765988806511831,2.9286809419575337,0.11129738844423885,False
lcts6p,PC,C_TAL,PC→C_TAL,635.3946116319798,102.49344288956762,2.632121228773681,0.12637362637362637,False
ac,PT_S3,C_TAL,PT_S3→C_TAL,481.5731405328181,193.6907321670393,1.313999999760593,0.12637362637362637,False
lcts,C_TAL,PC,C_TAL→PC,2115.433738024614,238.77794262458087,3.147212014011308,0.12637362637362637,False
thf,C_TAL,MyoFib,C_TAL→MyoFib,602.8801438019583,0.0,29.167295975674048,0.14274787483168375,False
lpchol_hs,PT_S1,PT_S3,PT_S1→PT_S3,80.59889207156166,51.933073180539516,0.6341063968677103,0.14354881779471876,False
6thf,Fib,PT_S1,Fib→PT_S1,1184.2382709386436,66.34792637408772,4.157764175767595,0.15181501763666433,False
