metabolite,source_cell,sink_cell,exchange_axis,predictor,beta,p_value,significant,r_squared
pyr,PT_S1,PT_S2,PT_S1→PT_S2,eGFR,21.792139479625774,0.453557568131966,False,0.8244751239048854
pyr,PT_S1,PT_S2,PT_S1→PT_S2,fibrosis,-70.74158042778517,0.0038282731115952965,True,0.8244751239048854
pyr,PT_S1,PT_S2,PT_S1→PT_S2,age,-64.69986878485379,0.06482281806452204,False,0.8244751239048854
pyr,PT_S1,PT_S2,PT_S1→PT_S2,sex_num,-290.6747859936472,0.6714567620468184,False,0.8244751239048854
pyr,PT_S1,PT_S2,PT_S1→PT_S2,is_DKD,3033.8956688840135,0.02379852286920011,True,0.8244751239048854
pyr,PT_S1,PT_S2,PT_S1→PT_S2,is_HKD,3451.635653428811,0.008466370629593321,True,0.8244751239048854
glc_D,PEC,Mes,PEC→Mes,eGFR,13.494412289214464,0.5516695196921102,False,0.6610872823063974
glc_D,PEC,Mes,PEC→Mes,fibrosis,-23.167375169217493,0.12040178758245101,False,0.6610872823063974
glc_D,PEC,Mes,PEC→Mes,age,-19.427706418827675,0.4306705708680325,False,0.6610872823063974
glc_D,PEC,Mes,PEC→Mes,sex_num,-407.6270556550679,0.45564487991014535,False,0.6610872823063974
glc_D,PEC,Mes,PEC→Mes,is_DKD,943.3574172086172,0.2926626240671145,False,0.6610872823063974
glc_D,PEC,Mes,PEC→Mes,is_HKD,1960.753906114549,0.0344376715830634,True,0.6610872823063974
akg,PT_S1,PT_S3,PT_S1→PT_S3,eGFR,12.975984067152524,0.5365733060151403,False,0.44241424159577203
akg,PT_S1,PT_S3,PT_S1→PT_S3,fibrosis,-19.149869358434444,0.15824249688421835,False,0.44241424159577203
akg,PT_S1,PT_S3,PT_S1→PT_S3,age,-24.8909769413624,0.2848782708667627,False,0.44241424159577203
akg,PT_S1,PT_S3,PT_S1→PT_S3,sex_num,-387.1869093034897,0.4442370890146212,False,0.44241424159577203
akg,PT_S1,PT_S3,PT_S1→PT_S3,is_DKD,140.56726217401507,0.8598070070832342,False,0.44241424159577203
akg,PT_S1,PT_S3,PT_S1→PT_S3,is_HKD,308.88347162286874,0.6690669522656552,False,0.44241424159577203
nh4,iPT,PT_S1,iPT→PT_S1,eGFR,6.253384268214537,0.7023909096999172,False,0.43662784376184793
nh4,iPT,PT_S1,iPT→PT_S1,fibrosis,-16.61452054327146,0.12498364983581056,False,0.43662784376184793
nh4,iPT,PT_S1,iPT→PT_S1,age,-27.11376608396139,0.15281489269848414,False,0.43662784376184793
nh4,iPT,PT_S1,iPT→PT_S1,sex_num,1.5869813758068574,0.9967470439752166,False,0.43662784376184793
nh4,iPT,PT_S1,iPT→PT_S1,is_DKD,400.78905667893247,0.5277842661478014,False,0.43662784376184793
nh4,iPT,PT_S1,iPT→PT_S1,is_HKD,608.5847795596076,0.3007500132335257,False,0.43662784376184793
