metabolite,source_cell,sink_cell,exchange_axis,mean_Male,mean_Female,log2fc_M_vs_F,p_value,significant
Rtotal,PC,C_TAL,PC→C_TAL,171.20423380670957,301.05041612319377,-0.8142867285307449,0.042624042624042624,True
chol,C_TAL,iPT,C_TAL→iPT,13.99235178682748,0.696715730129127,4.32792255215664,0.08002272411156348,False
pyr,PT_S1,PT_S2,PT_S1→PT_S2,3716.735568687739,2737.497356844276,0.44117847781976444,0.08125208125208126,False
glnasngln,VSMC/Pericyte,IC,VSMC/Pericyte→IC,0.0,2.7290816880116666,-21.37998467656984,0.1121231080754044,False
dad_2,CD4T,Plasma_Cells,CD4T→Plasma_Cells,74.44111823971775,0.0,26.149596411030572,0.12678196881601222,False
dgsn,Fib,Plasma_Cells,Fib→Plasma_Cells,15.323970806763569,0.0,23.869286940799892,0.12678196881601222,False
cgly,PT_S2,PT_S1,PT_S2→PT_S1,127.97659681125744,61.77777419060101,1.0507201976653069,0.14185814185814188,False
nrpphr,PC,iPT,PC→iPT,78.9136386168462,495.3985426870169,-2.650243041862312,0.20094263568430393,False
npphos,Mac,Plasma_Cells,Mac→Plasma_Cells,7086.856976783292,3938.1055212745237,0.847644164781255,0.21799708932993545,False
4nph,Plasma_Cells,Mac,Plasma_Cells→Mac,7086.856976783292,3938.1055212745237,0.847644164781255,0.21799708932993545,False
pi,PT_S3,C_TAL,PT_S3→C_TAL,767.733863784621,338.0133105344949,1.183526223471702,0.22843822843822847,False
mal_L,C_TAL,PT_S2,C_TAL→PT_S2,153.13733843541263,587.0506416886325,-1.938658867004924,0.24004373893101227,False
6dhf,CNT,PT_S3,CNT→PT_S3,3195.5889960220206,787.552227307554,2.020634359566397,0.26173995057857735,False
dopa,MyoFib,Plasma_Cells,MyoFib→Plasma_Cells,8027.474399690979,2669.851735283286,1.5881865316787689,0.26716862774777095,False
10fthf6glu,Fib,MyoFib,Fib→MyoFib,6330.929966834961,1314.9324696650024,2.2674287259465693,0.26716862774777095,False
cys_L,CD4T,Plasma_Cells,CD4T→Plasma_Cells,4.63827793183978,1.160295188479945,1.999096453117655,0.2823842823842824,False
dgmp,C_TAL,GS_Stromal,C_TAL→GS_Stromal,23627.189167844237,25829.683871534013,-0.1285819786081959,0.2823842823842824,False
