Region,Metabolite,Source,Sink,Score,Coupling
Sample_DKD_R1,pyr,CD4T,Plasma_Cells,212.39590157641305,1.3270407134503077
Sample_DKD_R1,pyr,C_TAL,PT_S3,194.90783613580828,1.8846583206228478
Sample_DKD_R1,pyr,PT_S3,PT_S1,194.2803085930402,1.2856335903682328
Sample_DKD_R1,pyr,Plasma_Cells,MyoFib,189.01457617763342,1.4840583377339218
Sample_DKD_R1,pyr,PT_S1,PT_S3,185.53531276699948,1.2856335903682328
Sample_DKD_R1,pyr,Fib,Plasma_Cells,159.5639612679983,2.528074181502032
Sample_DKD_R1,pyr,PT_S1,PT_S2,157.62223436757802,1.1710337475865948
Sample_DKD_R1,pyr,DCT,PT_S1,152.50706914754713,0.6052275326688025
Sample_DKD_R1,pyr,PC,IC,143.1036512522216,1.403241830567355
Sample_DKD_R1,pyr,iPT,PT_S1,139.50626500574063,1.0929124924699354
Sample_DKD_R1,pyr,Mono,Plasma_Cells,134.9622831892701,1.152794980956597
Sample_DKD_R1,pyr,Plasma_Cells,Fib,119.43016826889698,2.528074181502032
Sample_DKD_R1,pyr,PC,C_TAL,118.74331495285169,1.4247072764508935
Sample_DKD_R1,pyr,PT_S3,C_TAL,118.22382693421896,1.8846583206228478
Sample_DKD_R1,pyr,PT_S2,PT_S1,112.68555698656375,1.1710337475865948
Sample_DKD_R1,pyr,IC,C_TAL,104.23869098250871,1.0104733806868855
Sample_DKD_R1,pyr,Fib,MyoFib,100.63435238863289,1.1670232730490238
Sample_DKD_R1,pyr,DCT,PT_S3,100.13698906000107,0.5708640858897942
Sample_DKD_R1,pyr,C_TAL,PT_S1,95.95816609776178,0.6459156009771065
Sample_DKD_R1,pyr,C_TAL,iPT,91.95678263888868,1.6350185355789717
Sample_DKD_R1,pyr,IC,VSMC/Pericyte,91.30297016584997,0.38844929803367795
Sample_DKD_R1,pyr,GS_Stromal,C_TAL,89.50105200464274,1.3018873684988286
Sample_DKD_R1,pyr,PC,PT_S1,88.48296051119615,0.4406937913567986
Sample_DKD_R1,pyr,CD4T,Mono,88.25996816157267,1.037986704852378
Sample_DKD_R1,pyr,PEC,GS_Stromal,87.80222892050786,1.240135375054701
Sample_DKD_R1,pyr,Plasma_Cells,CD4T,86.69050647340866,1.3270407134503077
Sample_DKD_R1,pyr,iPT,C_TAL,86.63468793347047,1.6350185355789717
Sample_DKD_R1,pyr,PT_S1,iPT,85.77469324661287,1.0929124924699354
Sample_DKD_R1,pyr,GS_Stromal,VSMC/Pericyte,85.65803066679447,0.546848299074759
Sample_DKD_R1,pyr,Mono,Fib,85.18034592981589,1.4357453200607997
Sample_DKD_R1,pyr,Mono,CD4T,85.15631174771733,1.037986704852378
Sample_DKD_R1,pyr,iPT,PT_S3,82.92263829756126,0.9331990354618231
Sample_DKD_R1,pyr,PEC,Mono,80.00343511620513,0.988227720437696
Sample_DKD_R1,pyr,Mono,MyoFib,78.012400687729,0.4877323473996473
Sample_DKD_R1,pyr,PEC,IC,77.67463832388164,0.6776309271789385
Sample_DKD_R1,pyr,C_TAL,IC,76.24766028264224,1.0104733806868855
Sample_DKD_R1,pyr,Endo_Peritubular,PT_S1,75.95098221621735,0.3256847672351735
Sample_DKD_R1,pyr,GS_Stromal,IC,75.87283721937678,0.9019800501876036
Sample_DKD_R1,pyr,C_TAL,VSMC/Pericyte,74.44301660254801,0.5297982162450792
Sample_DKD_R1,pyr,PEC,VSMC/Pericyte,72.60914744467556,0.3401680257083045
Sample_DKD_R1,pyr,IC,GS_Stromal,70.32117094115247,0.9019800501876036
Sample_DKD_R1,pyr,IC,PC,69.80495892206964,1.403241830567355
Sample_DKD_R1,pyr,GS_Stromal,iPT,69.0421209000092,1.1011976815802866
Sample_DKD_R1,pyr,IC,PT_S3,67.52036452664336,0.39030221091216594
Sample_DKD_R1,pyr,Endo_Peritubular,C_TAL,65.20172704618527,0.6735383638707175
Sample_DKD_R1,pyr,CNT,PT_S1,60.92819426425268,0.710584946694924
Sample_DKD_R1,pyr,C_TAL,GS_Stromal,60.677193041977205,1.3018873684988286
Sample_DKD_R1,pyr,Endo_Peritubular,PT_S3,57.26679843536087,0.3527576551976194
Sample_DKD_R1,pyr,Plasma_Cells,Mono,57.093247665886906,1.152794980956597
Sample_DKD_R1,pyr,DCT,CNT,57.03768220059047,0.7687422135960734
Sample_DKD_R1,pyr,PT_S1,C_TAL,55.5847234043342,0.6459156009771065
Sample_DKD_R1,pyr,PC,VSMC/Pericyte,55.0499005723885,0.28988551782622424
Sample_DKD_R1,pyr,DCT,C_TAL,53.700587128797515,0.5133894289467017
Sample_DKD_R1,pyr,PT_S3,iPT,53.38764663914865,0.9331990354618231
Sample_DKD_R1,pyr,GS_Stromal,PEC,50.09988036332256,1.240135375054701
Sample_DKD_R1,pyr,PT_S3,PT_S2,49.53372396271407,0.5048474866024438
Sample_DKD_R1,pyr,Fib,Mono,48.14292753627883,1.4357453200607997
Sample_DKD_R1,pyr,GS_Stromal,Mono,46.950344831478084,0.7902851325011028
Sample_DKD_R1,pyr,PC,PT_S3,45.867160703291574,0.32816226101236873
Sample_DKD_R1,pyr,PEC,C_TAL,44.702621414519406,0.47717934475918283
Sample_DKD_R1,pyr,Endo_Peritubular,VSMC/Pericyte,44.67565645131825,0.20254787341673333
Sample_DKD_R1,pyr,iPT,GS_Stromal,44.09806296880295,1.1011976815802866
Sample_DKD_R1,pyr,IC,iPT,43.43780993209235,0.46171048826923694
Sample_DKD_R1,pyr,PT_S1,CNT,43.37552103938395,0.710584946694924
Sample_DKD_R1,pyr,Mono,GS_Stromal,42.98719268544223,0.7902851325011028
Sample_DKD_R1,pyr,Podo,C_TAL,42.79591995990752,0.9412146369642302
Sample_DKD_R1,pyr,C_TAL,PC,42.36842331848872,1.4247072764508935
Sample_DKD_R1,pyr,Mes,Plasma_Cells,42.34685190982559,0.7191174652966195
Sample_DKD_R1,pyr,Mono,PEC,41.79651582975493,0.988227720437696
Sample_DKD_R1,pyr,Fib,VSMC/Pericyte,41.61270038351789,0.47067872433164165
Sample_DKD_R1,pyr,IC,PEC,41.07808192931882,0.6776309271789385
Sample_DKD_R1,pyr,Endo_Peritubular,GS_Stromal,40.51785160301026,0.5538148002957509
Sample_DKD_R1,pyr,PEC,Plasma_Cells,39.205440132913076,0.25727928579369397
Sample_DKD_R1,pyr,Podo,iPT,39.10109570163931,0.9429336281754823
Sample_DKD_R1,pyr,Fib,PT_S3,37.782921903622764,0.5806454226267123
Sample_DKD_R1,pyr,MyoFib,Plasma_Cells,37.57011115536704,1.4840583377339218
Sample_DKD_R1,pyr,GS_Stromal,Plasma_Cells,37.463478614356994,0.3350142007606467
Sample_DKD_R1,pyr,PT_S3,VSMC/Pericyte,37.338674673255234,0.26124020651046487
Sample_DKD_R1,pyr,CNT,PT_S3,36.847439007354836,0.617325896595834
Sample_DKD_R1,pyr,Mono,C_TAL,36.253841549030575,0.5037138008461834
Sample_DKD_R1,pyr,Mes,Fib,36.10730813670391,1.2099632180405275
Sample_DKD_R1,pyr,IC,CNT,35.4292339635298,0.48418202613504197
Sample_DKD_R1,pyr,PC,CNT,34.712569379684524,0.5871569517001025
Sample_DKD_R1,pyr,PT_S2,PT_S3,33.81812708416746,0.5048474866024438
Sample_DKD_R1,pyr,Endo_Peritubular,IC,32.25987035700977,0.2723523897009611
Sample_DKD_R1,pyr,GS_Stromal,PT_S3,31.841831865504805,0.27619360765502715
Sample_DKD_R1,pyr,Podo,PT_S3,31.402644922357684,0.41183460791621596
Sample_DKD_R1,pyr,Podo,PT_S1,31.334103799265478,0.28606478384531153
Sample_DKD_R1,pyr,Mono,VSMC/Pericyte,31.1831532639209,0.19015307541661133
Sample_DKD_R1,pyr,IC,PT_S1,30.392704784526945,0.12229989761755714
Sample_DKD_R1,pyr,PT_S3,Fib,30.024459760251997,0.5806454226267123
Sample_DKD_R1,pyr,PT_S3,IC,29.957672202542057,0.39030221091216594
Sample_DKD_R1,pyr,iPT,IC,29.93460561961659,0.46171048826923694
Sample_DKD_R1,pyr,PEC,PT_S1,29.924702158556663,0.13259870882635919
Sample_DKD_R1,pyr,PEC,Fib,29.765337574354454,0.3854496446637726
Sample_DKD_R1,pyr,Endo_Peritubular,iPT,28.96803102880603,0.32811652729867546
Sample_DKD_R1,pyr,CNT,VSMC/Pericyte,28.745862719418398,0.35445877847928337
Sample_DKD_R1,pyr,GS_Stromal,Fib,28.199714193404603,0.49762039563544214
Sample_DKD_R1,pyr,PC,GS_Stromal,27.95889691215823,0.4438655265790939
Sample_DKD_R1,pyr,PC,MyoFib,27.544199041869582,0.14870813293635052
Sample_DKD_R1,pyr,PT_S3,CNT,27.4685611044094,0.617325896595834
Sample_DKD_R1,pyr,iPT,VSMC/Pericyte,27.079784217297938,0.22430015382565208
Sample_DKD_R1,pyr,C_TAL,Mono,26.844237737345793,0.5037138008461834
Sample_DKD_R1,pyr,Mono,PT_S3,26.231390161752632,0.21733087552065553
Sample_DKD_R1,pyr,PEC,iPT,25.753335406019087,0.30143107355235976
Sample_DKD_R1,pyr,C_TAL,Fib,25.397629612361648,0.49961376930889495
Sample_DKD_R1,pyr,Podo,IC,24.942113637554062,0.44831667596163405
Sample_DKD_R1,pyr,IC,Mono,24.059814335020224,0.2698907201203896
Sample_DKD_R1,pyr,DCT,PT_S2,23.801240874126695,0.14547859349066158
Sample_DKD_R1,pyr,Mono,IC,23.768008835400174,0.2698907201203896
Sample_DKD_R1,pyr,C_TAL,Podo,23.68691529020747,0.9412146369642302
Sample_DKD_R1,pyr,Podo,VSMC/Pericyte,23.653439452825765,0.22831482556870478
Sample_DKD_R1,pyr,IC,Plasma_Cells,23.46452470973633,0.13983552994975337
Sample_DKD_R1,pyr,PC,Plasma_Cells,23.407880825218797,0.17265867898949241
Sample_DKD_R1,pyr,Mono,iPT,23.330066160206982,0.3554280338863895
Sample_DKD_R1,pyr,CD4T,Fib,23.154426616876457,0.28547658660016495
Sample_DKD_R1,pyr,PC,iPT,23.064312146182402,0.3034330424545042
Sample_DKD_R1,pyr,C_TAL,CNT,22.971225406577194,0.525131605729712
Sample_DKD_R1,pyr,VSMC/Pericyte,C_TAL,22.733260330148333,0.5297982162450792
Sample_DKD_R1,pyr,C_TAL,Plasma_Cells,22.610048114578174,0.2253950378012435
Sample_DKD_R1,pyr,Endo_Peritubular,MyoFib,22.35344952173278,0.10390486669322622
Sample_DKD_R1,pyr,CNT,IC,21.08659451591699,0.48418202613504197
Sample_DKD_R1,pyr,Podo,GS_Stromal,21.08434751190536,0.6135661351633427
Sample_DKD_R1,pyr,IC,Fib,20.929048506847828,0.24612379624271008
Sample_DKD_R1,pyr,GS_Stromal,MyoFib,20.572303935349794,0.13465308401406975
Sample_DKD_R1,pyr,VSMC/Pericyte,IC,20.394837073582117,0.38844929803367795
Sample_DKD_R1,pyr,iPT,Podo,20.389337527531325,0.9429336281754823
Sample_DKD_R1,pyr,Fib,C_TAL,19.386045945165527,0.49961376930889495
Sample_DKD_R1,pyr,GS_Stromal,PT_S1,19.063399289442618,0.11510824465150224
Sample_DKD_R1,pyr,IC,Podo,18.873038299608982,0.44831667596163405
Sample_DKD_R1,pyr,VSMC/Pericyte,PT_S3,18.798402624838843,0.26124020651046487
Sample_DKD_R1,pyr,CNT,C_TAL,18.690945678297478,0.525131605729712
Sample_DKD_R1,pyr,PT_S1,PC,18.288003168833484,0.4406937913567986
Sample_DKD_R1,pyr,Endo_Peritubular,Mono,18.12385496024338,0.21664744340223566
Sample_DKD_R1,pyr,VSMC/Pericyte,GS_Stromal,17.733856469185714,0.546848299074759
Sample_DKD_R1,pyr,Podo,Plasma_Cells,17.447078094458515,0.2358950639127408
Sample_DKD_R1,pyr,C_TAL,MyoFib,17.435017813691076,0.12721652147337412
Sample_DKD_R1,pyr,iPT,PT_S2,17.41780094738534,0.21016277499709352
Sample_DKD_R1,pyr,CD4T,C_TAL,17.298352958119803,0.17580573027019844
Sample_DKD_R1,pyr,C_TAL,PEC,17.292647195861804,0.47717934475918283
Sample_DKD_R1,pyr,GS_Stromal,Podo,17.213491291082764,0.6135661351633427
Sample_DKD_R1,pyr,PT_S1,MyoFib,17.20909754598597,0.08998425413316952
Sample_DKD_R1,pyr,PT_S1,VSMC/Pericyte,17.19707128544551,0.08770580193070292
Sample_DKD_R1,pyr,PC,Fib,17.185724921845335,0.25014540050988504
Sample_DKD_R1,pyr,Endo_Peritubular,Plasma_Cells,16.961274341347963,0.10771385261753921
Sample_DKD_R1,pyr,PC,Mono,16.87339905006059,0.23427114661692214
Sample_DKD_R1,pyr,VSMC/Pericyte,Fib,16.64821243803141,0.47067872433164165
Sample_DKD_R1,pyr,DCT,VSMC/Pericyte,16.44632838993595,0.06900655593423542
Sample_DKD_R1,pyr,iPT,Mono,16.27500242425446,0.3554280338863895
Sample_DKD_R1,pyr,Endo_Peritubular,PT_S2,16.163730213763827,0.10675210253672476
Sample_DKD_R1,pyr,PC,PEC,16.098860849474377,0.32869928093458733
Sample_DKD_R1,pyr,Fib,PT_S1,16.07813515256692,0.17200522903844537
Sample_DKD_R1,pyr,iPT,Fib,15.79767046752734,0.3616863407399824
Sample_DKD_R1,pyr,Mes,Mono,15.711611856359019,0.5022146273064424
Sample_DKD_R1,pyr,PT_S1,DCT,15.5661017058355,0.6052275326688025
Sample_DKD_R1,pyr,MyoFib,Fib,14.971753705735521,1.1670232730490238
Sample_DKD_R1,pyr,PEC,PC,14.849088327462802,0.32869928093458733
Sample_DKD_R1,pyr,GS_Stromal,PC,14.714849503079476,0.4438655265790939
Sample_DKD_R1,pyr,PEC,CD4T,14.687719936950177,0.13754606108107537
