metabolite,source,sink,exchange_axis,mean_raw_DKD,mean_raw_Control,mean_rank_DKD,mean_rank_Control,detected_DKD,detected_Control,rate_DKD,rate_Control,log2fc,perm_p,fisher_p,fisher_or,wilcox_r,cohens_d,perm_q,fisher_q,evidence_score,sig_perm,sig_fisher,significant,sig_fdr,signature_DKD,signature_Control,effect_size_label
fol,PT_S2,Podo,PT_S2→Podo,0.0,8.11,0.2126,0.3023,0,1,0.0,0.333,-22.952,0.045,0.33333333333333337,0.128,0.889,-1.686,1.0,1.0,1.062,True,False,True,False,False,False,large
thf,C_TAL,MyoFib,C_TAL→MyoFib,0.0,1534.16,0.2126,0.3828,0,1,0.0,0.333,-30.515,0.0474,0.33333333333333337,0.128,0.889,-1.384,1.0,1.0,0.979,True,False,True,False,False,False,large
o2s,CNT,IC,CNT→IC,0.0,2505.58,0.2126,0.3897,0,1,0.0,0.333,-31.222,0.0502,0.33333333333333337,0.128,0.889,-1.37,1.0,1.0,0.966,False,False,False,False,False,False,large
pro_L,Fib,MyoFib,Fib→MyoFib,3111.14,0.0,0.5339,0.2299,4,0,0.667,0.0,31.535,0.265,0.16666666666666669,12.6,-0.556,1.503,1.0,1.0,0.872,False,False,False,False,True,False,large
tyrglu,PC,GS_Stromal,PC→GS_Stromal,0.0,1.41,0.2126,0.3276,0,1,0.0,0.333,-20.423,0.3806,0.33333333333333337,0.128,0.444,-1.112,1.0,1.0,0.594,False,False,False,False,False,False,large
ncam,iPT,PT_S3,iPT→PT_S3,0.0,43.86,0.2126,0.3644,0,1,0.0,0.333,-25.386,0.3862,0.33333333333333337,0.128,0.444,-1.116,1.0,1.0,0.593,False,False,False,False,False,False,large
lac_L,Podo,Endo_G,Podo→Endo_G,238867.5,245251.27,0.9874,1.0,6,3,1.0,1.0,-0.038,0.173,1.0,1.857,0.667,-1.182,1.0,1.0,0.562,False,False,False,False,False,False,large
mal_L,C_TAL,PT_S2,C_TAL→PT_S2,292.73,400.08,0.5264,0.5414,6,2,1.0,0.667,-0.451,0.1424,0.3333333333333333,7.8,0.833,-0.074,1.0,1.0,0.484,False,False,False,False,False,False,negligible
hco3,Endo_G,Podo,Endo_G→Podo,76911.51,85674.39,0.9506,0.931,6,3,1.0,1.0,-0.156,0.2,1.0,1.857,-0.611,0.917,1.0,1.0,0.474,False,False,False,False,False,False,large
creat,iPT,PT_S3,iPT→PT_S3,146.66,323.42,0.381,0.4862,4,2,0.667,0.667,-1.141,0.1322,1.0,1.08,1.0,-0.664,1.0,1.0,0.474,False,False,False,False,False,False,medium
gthrd,C_TAL,PC,C_TAL→PC,382.72,0.0,0.4253,0.2299,3,0,0.5,0.0,28.512,0.5584,0.46428571428571436,7.0,-0.333,0.889,1.0,1.0,0.469,False,False,False,False,True,False,large
ala_D,iPT,C_TAL,iPT→C_TAL,18026.48,9134.45,0.5586,0.8023,4,3,0.667,1.0,0.981,0.6254,0.5,0.257,0.333,-0.972,1.0,1.0,0.44,False,False,False,False,False,False,large
cit,Endo_G,Podo,Endo_G→Podo,37434.11,35882.91,0.9011,0.846,6,3,1.0,1.0,0.061,0.3698,1.0,1.857,-0.444,1.128,1.0,1.0,0.433,False,False,False,False,False,False,large
gsn,PT_S1,CNT,PT_S1→CNT,12256.67,6068.19,0.6851,0.7402,5,3,0.833,1.0,1.014,0.1244,1.0,0.524,-0.733,-0.298,1.0,1.0,0.416,False,False,False,False,False,False,small
fe3,C_TAL,PC,C_TAL→PC,40289.24,7995.44,0.7793,0.623,5,2,0.833,0.667,2.333,0.1914,1.0,2.2,-0.8,0.554,1.0,1.0,0.415,False,False,False,False,False,False,medium
gmp,MyoFib,PT_S3,MyoFib→PT_S3,6706.2,520.64,0.5506,0.3575,4,1,0.667,0.333,3.687,0.5446,0.5238095238095237,3.0,-0.333,0.799,1.0,1.0,0.412,False,False,False,False,True,False,medium
fe2,PC,C_TAL,PC→C_TAL,40289.24,7995.44,0.7782,0.623,5,2,0.833,0.667,2.333,0.201,1.0,2.2,-0.8,0.55,1.0,1.0,0.406,False,False,False,False,False,False,medium
asp_L,IC,PC,IC→PC,1575.25,1495.44,0.6471,0.6828,6,3,1.0,1.0,0.075,0.3098,1.0,1.857,0.5,-0.763,1.0,1.0,0.369,False,False,False,False,False,False,medium
adn,PC,C_TAL,PC→C_TAL,2484.23,432.32,0.6425,0.5954,6,3,1.0,1.0,2.523,0.2622,1.0,1.857,-0.556,0.656,1.0,1.0,0.367,False,False,False,False,False,False,medium
orot,C_TAL,CD4T,C_TAL→CD4T,669.93,580.78,0.5506,0.6092,6,3,1.0,1.0,0.206,0.3726,1.0,1.857,0.444,-0.861,1.0,1.0,0.365,False,False,False,False,False,False,large
gluampn,Podo,Endo_G,Podo→Endo_G,54430.16,103610.55,0.9149,0.9333,6,3,1.0,1.0,-0.929,0.278,1.0,1.857,0.5,-0.673,1.0,1.0,0.363,False,False,False,False,False,False,medium
dgsn,Fib,Plasma_Cells,Fib→Plasma_Cells,29.1,0.01,0.2523,0.2908,1,1,0.167,0.333,11.71,0.268,1.0,0.455,0.556,-0.53,1.0,1.0,0.358,False,False,False,False,False,False,medium
gthox,C_TAL,GS_Stromal,C_TAL→GS_Stromal,478.09,910.16,0.5368,0.6,6,3,1.0,1.0,-0.929,0.3626,1.0,1.857,0.444,-0.801,1.0,1.0,0.354,False,False,False,False,False,False,large
nh4,iPT,PT_S1,iPT→PT_S1,29208.36,27063.55,0.8609,0.8391,6,3,1.0,1.0,0.11,0.3072,1.0,1.857,-0.5,0.69,1.0,1.0,0.352,False,False,False,False,False,False,medium
ac,PT_S3,C_TAL,PT_S3→C_TAL,6039.34,3842.18,0.7414,0.6897,6,3,1.0,1.0,0.652,0.3776,1.0,1.857,-0.444,0.762,1.0,1.0,0.339,False,False,False,False,False,False,medium
dad_2,CD4T,Plasma_Cells,CD4T→Plasma_Cells,223.88,109.85,0.2741,0.323,1,1,0.167,0.333,1.027,0.2548,1.0,0.455,0.556,-0.389,1.0,1.0,0.33,False,False,False,False,False,False,small
chsterol,PT_S1,Endo_G,PT_S1→Endo_G,9.54,5.45,0.3224,0.3931,3,2,0.5,0.667,0.808,0.3928,1.0,0.6,0.667,-0.641,1.0,1.0,0.327,False,False,False,False,False,False,medium
orn,iPT,C_TAL,iPT→C_TAL,144.35,128.19,0.3115,0.4184,2,2,0.333,0.667,0.171,1.0,0.5238095238095238,0.333,0.0,-0.786,1.0,1.0,0.317,False,False,False,False,False,True,medium
2hb,M_TAL,C_TAL,M_TAL→C_TAL,668.29,1199.37,0.6356,0.5345,6,2,1.0,0.667,-0.844,0.867,0.3333333333333333,7.8,0.167,0.501,1.0,1.0,0.316,False,False,False,False,False,False,medium
