metabolite,source,sink,exchange_axis,mean_raw_DKD,mean_raw_HKD,mean_rank_DKD,mean_rank_HKD,detected_DKD,detected_HKD,rate_DKD,rate_HKD,log2fc,perm_p,fisher_p,fisher_or,wilcox_r,cohens_d,perm_q,fisher_q,evidence_score,sig_perm,sig_fisher,significant,sig_fdr,signature_DKD,signature_HKD,effect_size_label
thf,C_TAL,MyoFib,C_TAL→MyoFib,0.0,5695.53,0.2126,0.6138,0,5,0.0,1.0,-32.407,0.004,0.0021645021645021645,0.007,1.0,-4.615,0.203,0.3139,2.405,True,True,True,False,False,True,large
5mthf,MyoFib,Fib,MyoFib→Fib,0.0,5.77,0.2126,0.3407,0,4,0.0,0.8,-22.46,0.121,0.01515151515151515,0.026,0.6,-1.73,0.3899,1.0,1.328,False,True,True,False,False,True,large
6thf,Fib,PT_S1,Fib→PT_S1,1672.58,7399.87,0.4052,0.6938,3,5,0.5,1.0,-2.145,0.1458,0.1818181818181818,0.091,0.733,-1.802,0.4404,1.0,1.003,False,False,False,False,False,True,large
fol,PT_S2,Podo,PT_S2→Podo,0.0,492.81,0.2126,0.3993,0,3,0.0,0.6,-28.876,0.356,0.0606060606060606,0.055,0.367,-1.403,0.6792,1.0,0.902,False,False,False,False,False,True,large
6dhf,CNT,PT_S3,CNT→PT_S3,6100.5,15836.94,0.4529,0.749,3,5,0.5,1.0,-1.376,0.4548,0.1818181818181818,0.091,0.4,-1.536,0.7934,1.0,0.764,False,False,False,False,False,True,large
lac_D,PT_S1,PT_S3,PT_S1→PT_S3,221102.03,451019.34,0.5833,0.9959,3,5,0.5,1.0,-1.028,0.7292,0.1818181818181818,0.091,0.2,-1.432,0.9299,1.0,0.666,False,False,False,False,False,True,large
gluala,PT_S3,IC,PT_S3→IC,824.58,2718.53,0.3983,0.5986,3,5,0.5,1.0,-1.721,0.7882,0.1818181818181818,0.091,0.2,-1.388,0.9299,1.0,0.643,False,False,False,False,False,True,large
chsterol,PT_S1,Endo_G,PT_S1→Endo_G,9.54,9.62,0.3224,0.3807,3,5,0.5,1.0,-0.011,0.466,0.1818181818181818,0.091,-0.4,-0.747,0.7949,1.0,0.563,False,False,False,False,False,True,medium
ttdca,Mono,CD4T,Mono→CD4T,159.08,254.27,0.3615,0.4841,3,5,0.5,1.0,-0.677,1.0,0.1818181818181818,0.091,0.0,-1.116,1.0,1.0,0.539,False,False,False,False,False,True,large
dhnpt,CD4T,Plasma_Cells,CD4T→Plasma_Cells,10095.73,7028.33,0.4092,0.5869,2,4,0.333,0.8,0.522,0.5332,0.24242424242424246,0.185,-0.5,-0.68,0.8395,1.0,0.489,False,False,False,False,False,True,medium
ahdt,Plasma_Cells,CD4T,Plasma_Cells→CD4T,10095.73,7028.33,0.4092,0.5883,2,4,0.333,0.8,0.522,0.545,0.24242424242424246,0.185,-0.5,-0.686,0.8395,1.0,0.488,False,False,False,False,False,True,medium
lys_L,Fib,Plasma_Cells,Fib→Plasma_Cells,6.59,252.84,0.2851,0.3766,1,3,0.167,0.6,-5.261,0.6816,0.24242424242424238,0.195,0.167,-0.488,0.9299,1.0,0.399,False,False,False,False,False,True,small
tag_hs,CD4T,Mes,CD4T→Mes,10.99,31.37,0.3069,0.3262,2,3,0.333,0.6,-1.513,0.2966,0.5670995670995672,0.397,-0.667,-0.136,0.6419,1.0,0.32,False,False,False,False,False,True,negligible
orn,iPT,C_TAL,iPT→C_TAL,144.35,1085.85,0.3115,0.3848,2,3,0.333,0.6,-2.911,0.7992,0.5670995670995672,0.397,-0.333,-0.404,0.9299,1.0,0.237,False,False,False,False,False,True,small
malt,PT_S1,CNT,PT_S1→CNT,2495.17,2259.09,0.3678,0.4366,2,3,0.333,0.6,0.143,0.8016,0.5670995670995672,0.397,-0.333,-0.305,0.9299,1.0,0.211,False,False,False,False,False,True,small
