metabolite,source,sink,exchange_axis,mean_raw_DKD,mean_raw_HKD,mean_rank_DKD,mean_rank_HKD,detected_DKD,detected_HKD,rate_DKD,rate_HKD,log2fc,perm_p,fisher_p,fisher_or,wilcox_r,cohens_d,perm_q,fisher_q,evidence_score,sig_perm,sig_fisher,significant,sig_fdr,signature_DKD,signature_HKD,effect_size_label
thf,C_TAL,MyoFib,C_TAL→MyoFib,0.0,5695.53,0.2126,0.6138,0,5,0.0,1.0,-32.407,0.004,0.0021645021645021645,0.007,1.0,-4.615,0.203,0.3139,2.405,True,True,True,False,False,True,large
5mthf,MyoFib,Fib,MyoFib→Fib,0.0,5.77,0.2126,0.3407,0,4,0.0,0.8,-22.46,0.121,0.01515151515151515,0.026,0.6,-1.73,0.3899,1.0,1.328,False,True,True,False,False,True,large
duri,VSMC/Pericyte,Dedifferentiated_Tubule,VSMC/Pericyte→Dedifferentiated_Tubule,0.07,0.0,0.2397,0.1779,1,0,0.167,0.0,16.179,0.006,1.0,3.0,-0.967,1.734,0.203,1.0,1.236,True,False,True,False,False,False,large
34hpp,Mono,Fib,Mono→Fib,1.51,0.0,0.242,0.1779,1,0,0.167,0.0,20.529,0.0072,1.0,3.0,-0.967,1.63,0.203,1.0,1.182,True,False,True,False,False,False,large
3mob,Mono,Mac,Mono→Mac,71.07,0.0,0.2649,0.1779,1,0,0.167,0.0,26.083,0.0048,1.0,3.0,-0.967,1.101,0.203,1.0,1.112,True,False,True,False,False,False,large
val_L,Mono,GS_Stromal,Mono→GS_Stromal,38.42,0.0,0.2557,0.1779,1,0,0.167,0.0,25.195,0.0062,1.0,3.0,-0.967,1.239,0.203,1.0,1.107,True,False,True,False,False,False,large
lpchol_hs,PT_S1,PT_S3,PT_S1→PT_S3,557.18,0.0,0.3839,0.1779,2,0,0.333,0.0,29.054,0.0084,0.4545454545454546,6.111,-0.967,0.958,0.203,1.0,1.102,True,False,True,False,False,False,large
6thf,Fib,PT_S1,Fib→PT_S1,1672.58,7399.87,0.4052,0.6938,3,5,0.5,1.0,-2.145,0.1458,0.1818181818181818,0.091,0.733,-1.802,0.4404,1.0,1.003,False,False,False,False,False,True,large
dag_hs,C_TAL,PT_S3,C_TAL→PT_S3,10802.37,2211.79,0.7954,0.6152,6,5,1.0,1.0,2.288,0.0308,1.0,1.182,-0.8,1.655,0.2505,1.0,0.943,True,False,True,False,False,False,large
fol,PT_S2,Podo,PT_S2→Podo,0.0,492.81,0.2126,0.3993,0,3,0.0,0.6,-28.876,0.356,0.0606060606060606,0.055,0.367,-1.403,0.6792,1.0,0.902,False,False,False,False,False,True,large
