metabolite,source,sink,exchange_axis,mean_raw_Diseased,mean_raw_Control,mean_rank_Diseased,mean_rank_Control,detected_Diseased,detected_Control,rate_Diseased,rate_Control,log2fc,perm_p,fisher_p,fisher_or,wilcox_r,cohens_d,perm_q,fisher_q,evidence_score,sig_perm,sig_fisher,significant,sig_fdr,signature_Diseased,signature_Control,effect_size_label
tyrglu,PC,GS_Stromal,PC→GS_Stromal,0.0,1.41,0.1969,0.3276,0,1,0.0,0.333,-20.423,0.162,0.21428571428571427,0.072,0.576,-1.614,0.8948,1.0,0.897,False,False,False,False,False,False,large
ncam,iPT,PT_S3,iPT→PT_S3,0.0,43.86,0.1969,0.3644,0,1,0.0,0.333,-25.386,0.1576,0.21428571428571427,0.072,0.576,-1.59,0.8948,1.0,0.896,False,False,False,False,False,False,large
gmp,MyoFib,PT_S3,MyoFib→PT_S3,4920.89,520.64,0.5875,0.3575,9,1,0.818,0.333,3.241,0.127,0.17582417582417578,6.333,-0.636,1.204,0.8948,1.0,0.876,False,False,False,False,True,False,large
creat,iPT,PT_S3,iPT→PT_S3,133.57,323.42,0.4097,0.4862,9,2,0.818,0.667,-1.276,0.0302,1.0,2.28,1.0,-0.602,0.8948,1.0,0.705,True,False,True,False,False,False,medium
orot,C_TAL,CD4T,C_TAL→CD4T,581.99,580.78,0.5373,0.6092,11,3,1.0,1.0,0.003,0.0868,1.0,3.286,0.697,-1.31,0.8948,1.0,0.699,False,False,False,False,False,False,large
lac_L,Podo,Endo_G,Podo→Endo_G,285054.53,245251.27,0.9887,1.0,11,3,1.0,1.0,0.217,0.09,1.0,3.286,0.727,-1.1,0.8948,1.0,0.641,False,False,False,False,False,False,large
pro_L,Fib,MyoFib,Fib→MyoFib,4254.69,0.0,0.4715,0.2299,6,0,0.545,0.0,31.986,0.5332,0.20879120879120877,8.273,-0.273,1.003,0.8948,1.0,0.598,False,False,False,False,True,False,large
dopa,MyoFib,Plasma_Cells,MyoFib→Plasma_Cells,28887.9,35540.51,0.6969,0.4632,9,1,0.818,0.333,-0.299,0.7542,0.17582417582417578,6.333,-0.152,0.889,0.9509,1.0,0.527,False,False,False,False,True,False,large
asp_L,IC,PC,IC→PC,2072.45,1495.44,0.6301,0.6828,11,3,1.0,1.0,0.471,0.1796,1.0,3.286,0.545,-1.026,0.8948,1.0,0.517,False,False,False,False,False,False,large
ttdca,Mono,CD4T,Mono→CD4T,202.34,82.31,0.4172,0.3184,8,1,0.727,0.333,1.298,0.3132,0.5054945054945055,4.048,-0.424,0.818,0.8948,1.0,0.514,False,False,False,False,True,False,large
arg_L,C_TAL,PT_S3,C_TAL→PT_S3,354.55,752.66,0.5492,0.6437,11,3,1.0,1.0,-1.086,0.1852,1.0,3.286,0.545,-1.009,0.8948,1.0,0.509,False,False,False,False,False,False,large
o2s,CNT,IC,CNT→IC,596.67,2505.58,0.2831,0.3897,2,1,0.182,0.333,-2.07,0.1062,1.0,0.439,0.636,-0.561,0.8948,1.0,0.504,False,False,False,False,False,False,medium
cit,Endo_G,Podo,Endo_G→Podo,43932.83,35882.91,0.894,0.846,11,3,1.0,1.0,0.292,0.2746,1.0,3.286,-0.455,1.208,0.8948,1.0,0.498,False,False,False,False,False,False,large
lpchol_hs,PT_S1,PT_S3,PT_S1→PT_S3,303.91,322.16,0.2903,0.4943,2,2,0.182,0.667,-0.084,1.0,0.1758241758241758,0.158,0.0,-0.884,1.0,1.0,0.482,False,False,False,False,False,True,large
dad_2,CD4T,Plasma_Cells,CD4T→Plasma_Cells,126.57,109.85,0.2539,0.323,2,1,0.182,0.333,0.204,0.1262,1.0,0.439,0.636,-0.57,0.8948,1.0,0.48,False,False,False,False,False,False,medium
dgsn,Fib,Plasma_Cells,Fib→Plasma_Cells,15.89,0.01,0.2364,0.2908,2,1,0.182,0.333,10.837,0.1742,1.0,0.439,0.576,-0.682,0.8948,1.0,0.459,False,False,False,False,False,False,medium
