exchange_axis,source,sink,n_metabolites,n_significant,pct_significant,combined_p,mean_cohens_d,mean_evidence,direction,direction_label,metabolites,metabolite_detail,combined_q
C_TAL→CD4T,C_TAL,CD4T,2,1,50.0,0.030953,-1.736,0.838,DOWN,↑ Control,orot; tyrala,"orot(d=-1.48,rHKD=100%,rControl=100%); tyrala(d=-2.00,rHKD=0%,rControl=0%)",0.4656
MyoFib→PT_S3,MyoFib,PT_S3,1,1,100.0,0.0344,2.433,1.463,UP,↑ HKD,gmp,"gmp(d=+2.43,rHKD=100%,rControl=33%)",0.4656
iPT→PT_S3,iPT,PT_S3,2,1,50.0,0.037738,-0.803,0.744,DOWN,↑ Control,creat; ncam,"creat(d=-0.31,rHKD=100%,rControl=67%); ncam(d=-1.29,rHKD=0%,rControl=33%)",0.4656
C_TAL→PT_S3,C_TAL,PT_S3,16,0,0.0,0.040219,-1.106,0.618,DOWN,↑ Control,10fthf5glu; 15kprostgf2; ala_B; arg_L; atp; dag_hs; glumethis; his_L; ile_L; inost; met_L; phe_L; sphs1p; thr_L; thymd; trp_L,"atp(d=+0.97,rHKD=60%,rControl=0%); 10fthf5glu(d=+0.71,rHKD=100%,rControl=67%); ala_B(d=+0.02,rHKD=20%,rControl=0%); 15kprostgf2(d=-0.36,rHKD=40%,rControl=67%); met_L(d=-0.86,rHKD=20%,rControl=33%); phe_L(d=-1.08,rHKD=40%,rControl=67%); ile_L(d=-1.31,rHKD=0%,rControl=33%); sphs1p(d=-1.34,rHKD=100%,rControl=100%); trp_L(d=-1.43,rHKD=0%,rControl=33%); thr_L(d=-1.53,rHKD=20%,rControl=67%); thymd(d=-1.66,rHKD=100%,rControl=100%); inost(d=-1.81,rHKD=100%,rControl=100%); arg_L(d=-1.86,rHKD=100%,rControl=100%); his_L(d=-2.00,rHKD=0%,rControl=0%); glumethis(d=-2.00,rHKD=0%,rControl=0%); dag_hs(d=-2.16,rHKD=100%,rControl=100%)",0.4656
Mono→CD4T,Mono,CD4T,1,0,0.0,0.055,2.361,1.374,UP,↑ HKD,ttdca,"ttdca(d=+2.36,rHKD=100%,rControl=33%)",0.4656
PT_S1→PT_S3,PT_S1,PT_S3,5,1,20.0,0.094324,-0.29,0.694,DOWN,↑ Control,5dhf; akg; gln_L; lac_D; lpchol_hs,"lac_D(d=+1.15,rHKD=100%,rControl=67%); 5dhf(d=+0.90,rHKD=100%,rControl=67%); akg(d=+0.39,rHKD=100%,rControl=100%); gln_L(d=-1.53,rHKD=100%,rControl=100%); lpchol_hs(d=-2.37,rHKD=0%,rControl=67%)",0.4656
C_TAL→Plasma_Cells,C_TAL,Plasma_Cells,2,0,0.0,0.095572,-1.996,0.799,DOWN,↑ Control,alaarggly; asplysglu,"asplysglu(d=-2.00,rHKD=0%,rControl=0%); alaarggly(d=-2.00,rHKD=0%,rControl=0%)",0.4656
Fib→C_TAL,Fib,C_TAL,2,0,0.0,0.096709,-1.996,0.798,DOWN,↑ Control,dtdp; dtmp,"dtdp(d=-2.00,rHKD=0%,rControl=0%); dtmp(d=-2.00,rHKD=0%,rControl=0%)",0.4656
C_TAL→PEC,C_TAL,PEC,2,0,0.0,0.101998,-1.996,0.793,DOWN,↑ Control,acald; aspasnglu,"aspasnglu(d=-2.00,rHKD=0%,rControl=0%); acald(d=-2.00,rHKD=0%,rControl=0%)",0.4656
PEC→Mes,PEC,Mes,1,0,0.0,0.113,1.491,0.704,UP,↑ HKD,glc_D,"glc_D(d=+1.49,rHKD=100%,rControl=100%)",0.4656
Podo→Endo_G,Podo,Endo_G,6,0,0.0,0.113708,-1.066,0.553,DOWN,↑ Control,acac; asn_L; for; gluampn; gly; lac_L,"asn_L(d=+0.38,rHKD=100%,rControl=67%); lac_L(d=-1.13,rHKD=100%,rControl=100%); for(d=-1.28,rHKD=100%,rControl=100%); acac(d=-1.37,rHKD=100%,rControl=100%); gluampn(d=-1.38,rHKD=100%,rControl=100%); gly(d=-1.62,rHKD=100%,rControl=100%)",0.4656
DCT→C_TAL,DCT,C_TAL,1,0,0.0,0.138,-1.996,0.8,DOWN,↑ Control,aspglupro,"aspglupro(d=-2.00,rHKD=0%,rControl=0%)",0.4656
PC→GS_Stromal,PC,GS_Stromal,1,0,0.0,0.1388,-1.385,0.803,DOWN,↑ Control,tyrglu,"tyrglu(d=-1.39,rHKD=0%,rControl=33%)",0.4656
C_TAL→IC,C_TAL,IC,1,0,0.0,0.1408,-1.996,0.797,DOWN,↑ Control,hisglnala,"hisglnala(d=-2.00,rHKD=0%,rControl=0%)",0.4656
Plasma_Cells→C_TAL,Plasma_Cells,C_TAL,1,0,0.0,0.1436,-1.996,0.794,DOWN,↑ Control,3mhis,"3mhis(d=-2.00,rHKD=0%,rControl=0%)",0.4656
MyoFib→C_TAL,MyoFib,C_TAL,1,0,0.0,0.145,-1.996,0.793,DOWN,↑ Control,h2s,"h2s(d=-2.00,rHKD=0%,rControl=0%)",0.4656
VSMC/Pericyte→Dedifferentiated_Tubule,VSMC/Pericyte,Dedifferentiated_Tubule,1,0,0.0,0.1452,-1.996,0.792,DOWN,↑ Control,duri,"duri(d=-2.00,rHKD=0%,rControl=0%)",0.4656
Mono→C_TAL,Mono,C_TAL,1,0,0.0,0.1456,-1.996,0.792,DOWN,↑ Control,cholp,"cholp(d=-2.00,rHKD=0%,rControl=0%)",0.4656
Mono→GS_Stromal,Mono,GS_Stromal,1,0,0.0,0.1462,-1.996,0.791,DOWN,↑ Control,val_L,"val_L(d=-2.00,rHKD=0%,rControl=0%)",0.4656
Mono→Fib,Mono,Fib,1,0,0.0,0.1468,-1.996,0.791,DOWN,↑ Control,34hpp,"34hpp(d=-2.00,rHKD=0%,rControl=0%)",0.4656
Mac→Plasma_Cells,Mac,Plasma_Cells,2,0,0.0,0.153865,-1.453,0.617,DOWN,↑ Control,fmn; hxan,"hxan(d=-0.91,rHKD=100%,rControl=100%); fmn(d=-2.00,rHKD=0%,rControl=0%)",0.4656
Fib→PT_S1,Fib,PT_S1,1,0,0.0,0.1552,1.605,1.027,UP,↑ HKD,6thf,"6thf(d=+1.60,rHKD=100%,rControl=33%)",0.4656
C_TAL→Fib,C_TAL,Fib,3,0,0.0,0.180263,-1.389,0.582,DOWN,↑ Control,dttp; hisglu; meoh,"hisglu(d=-0.17,rHKD=20%,rControl=0%); dttp(d=-2.00,rHKD=0%,rControl=0%); meoh(d=-2.00,rHKD=0%,rControl=0%)",0.5173
M_TAL→C_TAL,M_TAL,C_TAL,1,0,0.0,0.1928,0.013,0.41,UP,↑ HKD,2hb,"2hb(d=+0.01,rHKD=100%,rControl=67%)",0.5302
CD4T→Plasma_Cells,CD4T,Plasma_Cells,3,0,0.0,0.205145,-0.382,0.564,DOWN,↑ Control,cys_L; dad_2; dhnpt,"dhnpt(d=+1.17,rHKD=80%,rControl=33%); dad_2(d=-0.77,rHKD=20%,rControl=33%); cys_L(d=-1.56,rHKD=100%,rControl=100%)",0.5326
Fib→CD4T,Fib,CD4T,1,0,0.0,0.2098,-1.284,0.558,DOWN,↑ Control,mag_hs,"mag_hs(d=-1.28,rHKD=100%,rControl=100%)",0.5326
PT_S1→Endo_G,PT_S1,Endo_G,1,0,0.0,0.2378,-0.148,0.412,DOWN,↑ Control,chsterol,"chsterol(d=-0.15,rHKD=100%,rControl=67%)",0.5433
Plasma_Cells→CD4T,Plasma_Cells,CD4T,1,0,0.0,0.2482,1.184,0.661,UP,↑ HKD,ahdt,"ahdt(d=+1.18,rHKD=80%,rControl=33%)",0.5433
IC→PC,IC,PC,1,0,0.0,0.2492,-1.337,0.545,DOWN,↑ Control,asp_L,"asp_L(d=-1.34,rHKD=100%,rControl=100%)",0.5433
Mono→Plasma_Cells,Mono,Plasma_Cells,1,0,0.0,0.2498,-0.727,0.413,DOWN,↑ Control,serglyglu,"serglyglu(d=-0.73,rHKD=20%,rControl=33%)",0.5433
PC→iPT,PC,iPT,1,0,0.0,0.2552,-0.248,0.29,DOWN,↑ Control,nrpphr,"nrpphr(d=-0.25,rHKD=20%,rControl=33%)",0.5433
